Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
138,0.00266052,3.23929e-05,3.60237e-05,1.38796e-05,4.36692e-06,0.000176145,0.00227258
139,0.00262818,3.19595e-05,3.5549e-05,1.36902e-05,4.31778e-06,0.000174484,0.00224636
140,0.00259479,3.15421e-05,3.50918e-05,1.35138e-05,4.26915e-06,0.00017274,0.00221881
141,0.00256393,3.11382e-05,3.46537e-05,1.33377e-05,4.21837e-06,0.000170893,0.00219057
142,0.00253421,3.07523e-05,3.42272e-05,1.31486e-05,4.17401e-06,0.000169201,0.00216177
143,0.0025036,3.03356e-05,3.37752e-05,1.30338e-05,4.12161e-06,0.000166963,0.00213403
144,0.00247676,2.99979e-05,3.33981e-05,1.28072e-05,4.07202e-06,0.000164961,0.00210839
145,0.00245073,2.96074e-05,3.29591e-05,1.26364e-05,4.0208e-06,0.000163025,0.00208685
146,0.00242273,2.9255e-05,3.25671e-05,1.24647e-05,3.97807e-06,0.000161523,0.00206588
147,0.00239065,2.88559e-05,3.2142e-05,1.23799e-05,3.92585e-06,0.000159419,0.00204425
148,0.0023638,2.85558e-05,3.18062e-05,1.21535e-05,3.87916e-06,0.000157734,0.00202172
149,0.00233573,2.81688e-05,3.13791e-05,1.20171e-05,3.83032e-06,0.000155954,0.00199971
150,0.00230594,2.784e-05,3.10171e-05,1.18632e-05,3.77759e-06,0.000154223,0.00197879
151,0.00228014,2.75188e-05,3.0659e-05,1.16893e-05,3.73114e-06,0.000152564,0.00195938
152,0.00225162,2.71608e-05,3.02682e-05,1.1574e-05,3.68261e-06,0.000150854,0.00194151
153,0.00222486,2.68576e-05,2.9931e-05,1.14095e-05,3.63738e-06,0.000149341,0.00192308
154,0.00219806,2.65133e-05,2.95525e-05,1.12847e-05,3.59574e-06,0.000147842,0.00190231
155,0.00217127,2.6176e-05,2.91868e-05,1.11846e-05,3.54833e-06,0.000146062,0.00187977
156,0.00214592,2.58751e-05,2.88534e-05,1.10079e-05,3.5047e-06,0.000144471,0.00185735
157,0.00211955,2.55424e-05,2.84894e-05,1.08729e-05,3.46045e-06,0.000142883,0.00183739
158,0.0020939,2.52334e-05,2.81527e-05,1.07317e-05,3.41701e-06,0.000141355,0.00181813
159,0.00207044,2.49238e-05,2.78123e-05,1.05987e-05,3.37681e-06,0.000139908,0.0017993
160,0.00204614,2.46061e-05,2.74667e-05,1.04921e-05,3.33582e-06,0.000138391,0.00178006
161,0.00202188,2.4302e-05,2.71334e-05,1.03776e-05,3.29109e-06,0.000136644,0.0017601
162,0.00199981,2.40284e-05,2.68222e-05,1.02069e-05,3.24935e-06,0.000135039,0.00174068
163,0.00197762,2.37273e-05,2.64826e-05,1.00795e-05,3.20848e-06,0.00013346,0.00172244
164,0.0019541,2.34405e-05,2.61654e-05,9.957e-06,3.16746e-06,0.000131915,0.00170466
165,0.00193127,2.31598e-05,2.5854e-05,9.8347e-06,3.12715e-06,0.000130341,0.00168614
166,0.00190877,2.28816e-05,2.5547e-05,9.71576e-06,3.08893e-06,0.000128808,0.00166642
167,0.00188512,2.25968e-05,2.5231e-05,9.60957e-06,3.04859e-06,0.000127224,0.00164736
168,0.00186212,2.23344e-05,2.49404e-05,9.4737e-06,3.01034e-06,0.000125717,0.00162822
169,0.00183809,2.20489e-05,2.46255e-05,9.36707e-06,2.97257e-06,0.000124197,0.0016092
170,0.00181631,2.17831e-05,2.43308e-05,9.25235e-06,2.93598e-06,0.00012264,0.00158926
171,0.00179472,2.15148e-05,2.40314e-05,9.14396e-06,2.90143e-06,0.000121124,0.00156838
172,0.00177289,2.12427e-05,2.3732e-05,9.05273e-06,2.8643e-06,0.000119474,0.00154668
173,0.00175367,2.09964e-05,2.34516e-05,8.91869e-06,2.8278e-06,0.000118046,0.00152528
174,0.00173345,2.07285e-05,2.31526e-05,8.80794e-06,2.7906e-06,0.000116491,0.00150483
175,0.0017129,2.04883e-05,2.28759e-05,8.68805e-06,2.75603e-06,0.000115081,0.00148505
176,0.00169164,2.02353e-05,2.25888e-05,8.58245e-06,2.72236e-06,0.000113798,0.00146492
177,0.0016706,1.99861e-05,2.23106e-05,8.48743e-06,2.68854e-06,0.000112444,0.00144329
178,0.00164988,1.9747e-05,2.20414e-05,8.3834e-06,2.65617e-06,0.000111,0.00142057
179,0.00162916,1.94966e-05,2.1763e-05,8.30232e-06,2.62327e-06,0.000109372,0.00139773
180,0.00160917,1.9262e-05,2.14982e-05,8.19748e-06,2.59004e-06,0.000107741,0.0013757
181,0.00159033,1.9028e-05,2.1228e-05,8.08304e-06,2.55994e-06,0.000106272,0.0013555
182,0.00157,1.878e-05,2.09485e-05,8.00085e-06,2.52829e-06,0.000104789,0.00133657
183,0.00155027,1.85521e-05,2.06879e-05,7.89118e-06,2.49931e-06,0.000103506,0.00131864
184,0.00153127,1.83103e-05,2.04162e-05,7.81064e-06,2.46741e-06,0.000102137,0.00130174
185,0.00151362,1.80943e-05,2.01676e-05,7.68897e-06,2.43681e-06,0.0001009,0.00128504
186,0.0014942,1.78535e-05,1.98942e-05,7.60475e-06,2.4036e-06,9.95418e-05,0.00126873
187,0.00147602,1.76406e-05,1.96513e-05,7.49012e-06,2.36971e-06,9.82104e-05,0.00125314
188,0.00145911,1.74291e-05,1.94066e-05,7.376e-06,2.34106e-06,9.70144e-05,0.0012387
189,0.00144041,1.71928e-05,1.91424e-05,7.29558e-06,2.31037e-06,9.567e-05,0.00122449
190,0.00142216,1.69872e-05,1.89124e-05,7.1967e-06,2.27822e-06,9.4239e-05,0.00120899
191,0.00140492,1.67852e-05,1.86792e-05,7.08778e-06,2.25035e-06,9.29743e-05,0.00119296
192,0.00138575,1.65515e-05,1.84206e-05,7.02369e-06,2.22107e-06,9.15675e-05,0.00117588
193,0.00136717,1.63527e-05,1.81971e-05,6.92265e-06,2.19159e-06,9.02555e-05,0.00115812
194,0.00134964,1.61373e-05,1.7955e-05,6.83306e-06,2.16176e-06,8.89011e-05,0.0011408
195,0.00133363,1.59381e-05,1.77262e-05,6.72715e-06,2.13209e-06,8.76034e-05,0.0011247
196,0.00131782,1.57357e-05,1.74959e-05,6.63023e-06,2.10449e-06,8.6388e-05,0.00110967
197,0.00130045,1.55236e-05,1.72608e-05,6.55467e-06,2.07496e-06,8.50665e-05,0.00109493
198,0.00128407,1.53392e-05,1.70527e-05,6.45167e-06,2.04588e-06,8.37977e-05,0.00108017
199,0.00126752,1.51438e-05,1.68317e-05,6.35891e-06,2.0197e-06,8.26765e-05,0.00106557
200,0.0012502,1.49352e-05,1.66027e-05,6.30192e-06,1.99021e-06,8.13313e-05,0.00105012
201,0.00123407,1.47634e-05,1.64057e-05,6.18847e-06,1.96374e-06,8.01845e-05,0.00103388
202,0.00121779,1.45553e-05,1.61738e-05,6.11849e-06,1.93775e-06,7.89923e-05,0.00101765
203,0.00120187,1.43688e-05,1.5965e-05,6.043e-06,1.9087e-06,7.76992e-05,0.00100141
204,0.00118735,1.42019e-05,1.57692e-05,5.93554e-06,1.88111e-06,7.65381e-05,0.000986301
205,0.00117235,1.40106e-05,1.5551e-05,5.85267e-06,1.85492e-06,7.54379e-05,0.000972545
206,0.00115617,1.38273e-05,1.53444e-05,5.7818e-06,1.82823e-06,7.43314e-05,0.000959446
207,0.00114073,1.36517e-05,1.51449e-05,5.69919e-06,1.8021e-06,7.3248e-05,0.000946077
208,0.00112581,1.34715e-05,1.49412e-05,5.61973e-06,1.7766e-06,7.21532e-05,0.000932591
209,0.00111075,1.32949e-05,1.47412e-05,5.53988e-06,1.75196e-06,7.10961e-05,0.000919137
210,0.00109538,1.31121e-05,1.45372e-05,5.46809e-06,1.72729e-06,6.99961e-05,0.000905756
211,0.00108055,1.29417e-05,1.43439e-05,5.38332e-06,1.70276e-06,6.88873e-05,0.000892608
212,0.00106613,1.27696e-05,1.41479e-05,5.30231e-06,1.67926e-06,6.78432e-05,0.00088022
213,0.00105185,1.26e-05,1.39552e-05,5.22547e-06,1.6538e-06,6.67839e-05,0.000869102
214,0.00103869,1.24447e-05,1.37761e-05,5.13729e-06,1.63056e-06,6.58388e-05,0.000859091
215,0.0010247,1.2268e-05,1.35789e-05,5.06679e-06,1.60837e-06,6.49076e-05,0.000848933
216,0.00100966,1.20993e-05,1.33923e-05,5.01146e-06,1.58457e-06,6.37912e-05,0.000837105
217,0.000996172,1.19468e-05,1.32186e-05,4.91879e-06,1.56149e-06,6.27846e-05,0.000824665
218,0.000982291,1.17783e-05,1.30283e-05,4.84878e-06,1.5386e-06,6.17803e-05,0.000812402
219,0.000968405,1.16219e-05,1.28513e-05,4.77569e-06,1.51664e-06,6.08261e-05,0.000800143
220,0.000954724,1.14641e-05,1.26726e-05,4.70489e-06,1.49467e-06,5.98556e-05,0.000787818
221,0.000941267,1.1309e-05,1.24969e-05,4.6345e-06,1.47263e-06,5.89124e-05,0.000775676
222,0.000928044,1.11555e-05,1.23229e-05,4.56528e-06,1.45117e-06,5.80033e-05,0.000763817
223,0.000914866,1.10015e-05,1.21502e-05,4.50133e-06,1.43024e-06,5.71057e-05,0.000751532
224,0.000901644,1.08457e-05,1.19765e-05,4.44394e-06,1.40882e-06,5.61777e-05,0.000738624
225,0.00088864,1.06967e-05,1.18094e-05,4.3743e-06,1.38697e-06,5.52185e-05,0.000725649
226,0.000876081,1.05511e-05,1.16444e-05,4.29906e-06,1.36564e-06,5.43161e-05,0.000713346
227,0.000863294,1.04022e-05,1.14771e-05,4.23204e-06,1.34495e-06,5.3435e-05,0.000701801
228,0.000850566,1.0255e-05,1.13124e-05,4.17081e-06,1.32343e-06,5.24984e-05,0.000690389
229,0.000838626,1.01154e-05,1.11548e-05,4.10023e-06,1.30246e-06,5.156e-05,0.000679083
230,0.000826781,9.97249e-06,1.09942e-05,4.03658e-06,1.28049e-06,5.0655e-05,0.000668712
231,0.000815552,9.84068e-06,1.08439e-05,3.96493e-06,1.25941e-06,4.98468e-05,0.000659838
232,0.000804109,9.70214e-06,1.06879e-05,3.90219e-06,1.23867e-06,4.90943e-05,0.000652355
233,0.000792799,9.57035e-06,1.05391e-05,3.83774e-06,1.21847e-06,4.83759e-05,0.000645183
234,0.000781285,9.4353e-06,1.03878e-05,3.7786e-06,1.19882e-06,4.76496e-05,0.00063762
235,0.000769643,9.30057e-06,1.02381e-05,3.72248e-06,1.18061e-06,4.69518e-05,0.000629191
236,0.000757811,9.1619e-06,1.00851e-05,3.67839e-06,1.16194e-06,4.61842e-05,0.000619593
237,0.000746406,9.03136e-06,9.93939e-06,3.61502e-06,1.1416e-06,4.53494e-05,0.000609427
238,0.000736205,8.91048e-06,9.80279e-06,3.53832e-06,1.1226e-06,4.46258e-05,0.000600363
239,0.000725452,8.77572e-06,9.65176e-06,3.48004e-06,1.10413e-06,4.39273e-05,0.000592334
240,0.000714358,8.65071e-06,9.5121e-06,3.42722e-06,1.08585e-06,4.31985e-05,0.000584422
241,0.00070329,8.52876e-06,9.3755e-06,3.37084e-06,1.06807e-06,4.25021e-05,0.000576456
242,0.000692676,8.40597e-06,9.2383e-06,3.31666e-06,1.05038e-06,4.17963e-05,0.000568068
243,0.000682123,8.28626e-06,9.1042e-06,3.26193e-06,1.03382e-06,4.11419e-05,0.000559311
244,0.000671233,8.16042e-06,8.96535e-06,3.22407e-06,1.01557e-06,4.03805e-05,0.000550293
245,0.000661586,8.05509e-06,8.84455e-06,3.15418e-06,9.99e-07,3.97124e-05,0.000541848
